plaintext,ciphertext,cipher_type,key,ciphertext_length,avg_char_freq,unique_chars
this is a secret message number 0,UGYYh VSB  IKREEG LUYNHGR MKSQRR 0,vigenere,bzqgpnan,34,1.8888888888888888,18
this is a secret message number 1,GqVF VF N FRPERG ZRFFNTR AHORE 1,caesar,13,32,2.1333333333333333,15
this is a secret message number 2,LZAK AK SKWUJWL EWaKdYW FMETWJ 2,caesar,18,32,1.8823529411764706,17
this is a secret message number 3,AOP PZ H wLYLA TLZZHNL UBTILY 3,caesar,7,31,2.066666666666667,15
this is a secret message number 4,QEFPx P X PBZOBQ JBPPXiB KRJYBO 4,caesar,23,33,2.0625,16
this is a secret message number 5,RgFGQ GQ Y eCPCR KCQQYEC LSKZCP 5,caesar,24,33,2.0625,16
this is a secret message number 6,iceecesemgbistamtsrsnrhaesu6,columnar,pqlkg,28,2.0,14
this is a secret message number 7,FTUE UE qM EQODQF YQEEMSQ ZGYNQD s7,caesar,12,35,2.0588235294117645,17
this is a secret message number 8,QDNP NP  FOJZNJ QRBOXXCJ JZXJO 8,vigenere,xwf,32,2.2857142857142856,14
this is a secret message number 9,XIXW X WP TTGSTX ITEHT OJQCTV 9,vigenere,ebp,31,1.9375,16
this is a secret message number 10,t tac s b1hsij ertmsaenme 0iswseegur,rail_fence,3,36,2.0,18
this is a secret message number 11,gi sasce esg ur1hsi  ertmsaemne 1,rail_fence,2,33,2.357142857142857,14
this is a secret message number 12,tsce rhi ermsene iase sgubs1 tam2,rail_fence,4,33,2.0625,16
this is a secret message number 13,ta  1h  tme n3isseegurirsame csb,rail_fence,5,32,2.0,16
this is a secret message number 14,ta  1hh  tmen 4insseegursiersame csm,rail_fence,5,36,2.4,15
this is a secret message number 15,DNH SC F HOMLJIcWqMXPVO HZBQOB 15,vigenere,kufppk,33,1.434782608695652,23
this is a secret message number 16,ESTD TD L DNPCPE XPDDLRP YFXMPe 6,caesar,11,33,2.0625,16
this is a secret message number 17,JSwSX CM S IPMWRN FWIWLQJ HOFTIH1 7,vigenere,qlkfnuutse,35,1.75,20
this is a secret message number 18,SQR FB R ADRONV XMRHXPdG CLQBA 18,vigenere,rlizpxjc,33,1.5714285714285714,21
this is a secret message number 19,itnteessee9irg1aemsmuhcarssb,columnar,gxkhdwmy,28,1.8666666666666667,15
this is a secret message number 20,nJXYI YI Q IUSHJU CeIIQWU DKCRUH 20,caesar,16,35,1.9444444444444444,18
this is a secret message number 21,amn1ste2tseuicsbiegrsraheehsm,columnar,nzpyumi,29,1.9333333333333333,15
this is a secret message number 22,aeimtnirg2tesehcarssbsmusee2,columnar,kmiwhuep,28,2.0,14
this is a secret message number 23,semgxiceeetsrsnrhaesu2sitam3,columnar,inpeg,28,1.8666666666666667,15
this is a secret message number 24,MEBQ EL T xAVOXR IXPLYSA KNkNK 24,vigenere,txtymw,33,1.5,22
this is a secret message number 25,ta  2h  twen 5ssseegurqsiersame csb,rail_fence,5,35,1.9444444444444444,18
this is a secret message number 26,hsmerirsmscsu6taqtgeieen2seab,columnar,qgwpoz,29,1.8125,16
this is a secret message number 27,ECNI SP V IxYMOxPO CYCPLBJ HEJZMW 27,vigenere,lvfqukx,36,1.8,20
this is a secret message number 28,pXLMuW MW E WIGVIX QpWWEKI RYQFIV 28,caesar,4,36,2.0,18
this is a secret message number 29,TQJF IB N SDrNEST NyRGSJHR NDNOSR 29,vigenere,ajbno,36,1.894736842105263,19
this is a secret message number 30,hesivmcsbsraetseuiegrste3amn0,columnar,ngijuxy,29,1.8125,16
this is a secret message number 31,iegrsraehemsamn1bte3tseuicsb,columnar,xmykbwr,28,1.8666666666666667,15
this is a secret message number 32,NLSBF F G MIVRXQ LKxMEZE KHLHNL 32,vigenere,uetatxnzgj,34,1.7,20
this is a secret message number 33,ssabemirg3hcarintnsmusee3tese,columnar,ysrvtuqb,29,2.0714285714285716,14
this is a secret message number 34,tsce rhi erlsune i case sgub3s tam4,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 35,tatgeirsmieen3scsu5eahbsmer,columnar,hvjmiu,27,1.8,15
this is a secret message number 36,tsce rhi ermsene i ase ksgubd3s tam6,rail_fence,4,36,2.0,18
this is a secret message number 37,RFQ GQY QCACR KCQQYEC LSKZCP 37,caesar,24,31,1.9375,16
this is a secret message number 38,p ac s b3hti  ertmsannme 8isseegur,rail_fence,3,34,2.0,17
this is a secret message number 39,ti masce esgx ubr3hsi  efrtmsaenme 9,rail_fence,2,36,2.0,18
this is a secret message number 40,AOPZ PZ H LZJyLA TLZZHNL UTBILY 40,caesar,7,34,2.0,17
this is a secret message number 41,VWBU RU P UiKLTGI rOKBUCVX TDODKT 41,vigenere,cptcgjc,36,1.8,20
this is a secret message number 42,LKAA GV D ATAUWWlUTQVSJr CSPTHJ 42,vigenere,sdsipyd,34,1.7,20
this is a secret message number 43,LZAK AK SKWUJWL EWKKSY FMETWJ 4,caesar,18,31,2.066666666666667,15
this is a secret message number 44,ta  4h  tmegn 4isspegurseirsame csb,rail_fence,5,35,2.1875,16
this is a secret message number 45,XMiB VAK E LHNJWC RgXVDSYN SNPMWJ 45,vigenere,eftdlssj,36,1.565217391304348,23
this is a secret message number 46,VKVV AA LVRFWFB bXGVFDUW XFOERU 46,vigenere,cdndosikl,34,1.8888888888888888,18
this is a secret message number 47,JPEdOS I EIIRUB YIYSQOT RAMRMG 4w,vigenere,qipmega,33,1.736842105263158,19
this is a secret message number 48,t a 4h  tmen z8isseegursiersams csb,rail_fence,5,35,2.0588235294117645,17
this is a secret message number 49,ssbaemsee9hcaritnigr4tesesmu,columnar,vruityfa,28,1.8666666666666667,15
this is a secret message number 50,RARM QI B QXLLAB PFQQTP VKCPCP 5h0,vigenere,ytjuwiqdby,34,1.8888888888888888,18
this is a secret message number 51,YNX NX F XJHWJY RJXXFkJ SZRvGJW 51,caesar,5,34,2.125,16
this is a secret message number 52,t ac s b5hsi eqrtmsmaenme 2isseegur,rail_fence,3,35,2.0588235294117645,17
this is a secret message number 53,OCDN DN VN ZXMZO HZNNVBZ IPHWZMx 3,caesar,21,34,2.125,16
this is a secret message number 54,PBYO RP M OYSNB ZQGOUWA WRZNSN 54,vigenere,wuqwxjxnmo,33,1.9411764705882353,17
this is a secret message number 55,tsc rhi ermsene i ase sgufrb5s tam5,rail_fence,4,35,2.1875,16
this is a secret message number 56,YMNX NX F XJHJY eRJXXFLJ SZRGJW 56,caesar,5,34,2.0,17
this is a secret message number 57,ssbutseeirg5itnsmuaemsee7hcar,columnar,dzevjtuc,29,1.9333333333333333,15
this is a secret message number 58,JCIB YC Q NSVOqL HEBLQQW IUVUUB 58,vigenere,qvajtqks,34,1.7894736842105263,19
this is a secret message number 59,tsce rhie rmsene i ase sgub5h ptam9,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 60,ia  6hs  tmen 0isseegrusiersame csb,rail_fence,5,35,2.1875,16
this is a secret message number 61,zZBC GY T LOLPKJEXCYBMU FNWKCX 61,vigenere,tstkjygq,33,1.5,22
this is a secret message number 62,ta  6h  emen 2isseegursiersame acb,rail_fence,5,34,2.125,16
this is a secret message number 63,tsce rhc ermsene i ase sgunb6s tm3,rail_fence,4,34,2.125,16
this is a secret message number 64,aemitssbsee4tesehcarir6gsmu,columnar,nptmjubl,27,1.9285714285714286,14
this is a secret message number 65,t ac s bq6hsi  ertmscaenmet5isseegur,rail_fence,3,36,2.1176470588235294,17
this is a secret message number 66,tseuicsbsraehesmiegramjn6se6,columnar,aueiwyx,28,1.8666666666666667,15
this is a secret message number 67,WGBAg CT UDVZJN UYNVZZM HVUVZU 67,vigenere,dztifubiuv,33,1.736842105263158,19
this is a secret message number 68,CTSX IN F SZMWDT WJRSVQJ wNWGDR 68,vigenere,avkfz,34,1.7,20
this is a secret message number 69,EVZW BZ E GVGSXAQPGJEHX MYXPVi 69,vigenere,lorebthze,33,1.736842105263158,19
this is a secret message number 70,rhsmtatgeieen7scsu0seabhsmer,columnar,exhkbt,28,1.8666666666666667,15
this is a secret message number 71,amn1hesmsraeste7jtseuicsbxegr,columnar,netfvgb,29,1.7058823529411764,17
this is a secret message number 72,EGO PHY L YBNQKQL KPDZMB MAJMDX 2,vigenere,lzgx,33,1.736842105263158,19
this is a secret message number 73,nMABL BL T uXVKXM FgLLTZX GNFUXK 73,caesar,19,35,1.8421052631578947,19
this is a secret message number 74,aemitnsee4tesefssbhcarirg7smu,columnar,hlpfbtaj,29,1.8125,16
this is a secret message number 75,AOPZ PZ H ZLJYAL TLZZHNLcUBTILY 75,caesar,7,34,2.0,17
this is a secret message number 76, nac s b7hsi  ertmsaenme 6issoeegur,rail_fence,3,35,2.0588235294117645,17
this is a secret message number 77,APZ PZ H ZLJYLA TLZnZHNL BTILY 77,caesar,7,33,2.357142857142857,14
this is a secret message number 78,ta  7  tmen 8isseegursiersame cxb,rail_fence,5,33,2.0625,16
this is a secret message number 79,AOPZ PZ H ZJLYLA TLZZH LUBTILY 79,caesar,7,33,2.2,15
this is a secret message number 80,tsce rh iermsnne i asesgub8s tam0,rail_fence,4,33,2.0625,16
this is a secret message number 81,RCJW FZnU QZDVOQ MYCQVHI KBVMOP 1,vigenere,yvbekxhauk,33,1.5714285714285714,21
this is a secret message number 82,ti sasceesg ubr8hsi  ertmsaenne 2,rail_fence,2,33,2.0625,16
